AccountNumber,Name,AnnualRevenue,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Description,Fax,Industry,Location__Latitude__s,Location__Longitude__s,NumberOfEmployees,Ownership,Phone,Rating,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Site,Type,Website,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude
C1P_001,Skycart,1000000,1038 Leigh Ave #206,San Jose,CA,95126,USA,c1p,9879879870,Transportation,37.3059168,-121.9234106,10,Private,9879879870,Hot,San Jose,USA,,37.3059168,-121.9234106,95126,CA,1038 Leigh Ave #206,www.skycart.copado.com,Customer - Direct,www.skycart.copado.com,,37.3059168,-121.9234106
C1P_002,Space Systems,2000000,"Loral - Bldg. 60, 1989 Little Orchard St",San Jose,CA,95125,USA,c1p,9879879871,Transportation,37.3038493,-121.8742822,210,Private,9879879871,Hot,San Jose,USA,,37.3038493,-121.8742822,95125,CA,"Loral - Bldg. 60, 1989 Little Orchard St",www.ssl.copado.com,Customer - Direct,www.ssl.copado.com,,37.3038493,-121.8742822
C1P_003,BAE Systems,3000000,6331 San Ignacio Ave,San Jose,CA,95119,USA,c1p,9879879872,Transportation,37.2386334,-121.7833855,310,Private,9879879872,Hot,San Jose,USA,,37.2386334,-121.7833855,95119,CA,6331 San Ignacio Ave,www.BAES.copado.com,Customer - Direct,www.BAES.copado.com,,37.2386334,-121.7833855
C1P_004,"Hera Systems, Inc.",4000000,7013 Realm Dr Suite B,San Jose,CA,95119,USA,c1p,9879879873,Transportation,37.2291313,-121.7796417,410,Private,9879879873,Hot,San Jose,USA,,37.2291313,-121.7796417,95119,CA,7013 Realm Dr Suite B,www.HeraS.copado.com,Customer - Direct,www.HeraS.copado.com,,37.2291313,-121.7796417
C1P_005,Aviall - 1538 Montague Expy,5000000,1038 Leigh Ave #206,San Jose,CA,95131,USA,c1p,9879879874,Transportation,37.4017005,-121.9041759,510,Private,9879879874,Hot,San Jose,USA,,37.4017005,-121.9041759,95131,CA,1038 Leigh Ave #206,www.Aviall.copado.com,Customer - Direct,www.Aviall.copado.com,,37.4017005,-121.9041759
C1P_006,ATK Missile Products,6000000,151 Martinvale Ln,San Jose,CA,95119,USA,c1p,9879879875,Transportation,37.2303237,-121.7807224,610,Private,9879879875,Hot,San Jose,USA,,37.2303237,-121.7807224,95119,CA,151 Martinvale Ln,www.ATKMP.copado.com,Customer - Direct,www.ATKMP.copado.com,,37.2303237,-121.7807224
C1P_007,Kairos Aerospace,7000000,777 Cuesta Dr #202,Mountain View,CA,94040,USA,c1p,9879879876,Transportation,37.3733864,-122.0888181,710,Private,9879879876,Hot,Mountain View,USA,,37.3733864,-122.0888181,94040,CA,777 Cuesta Dr #202,www.Kairos.copado.com,Customer - Direct,www.Kairos.copado.com,,37.3733864,-122.0888181
C1P_008,Northrop Grumman,8000000,6379 San Ignacio Ave,San Jose,CA,95119,USA,c1p,9879879877,Transportation,37.2368057,-121.7866418,810,Private,9879879877,Hot,San Jose,USA,,37.2368057,-121.7866418,95119,CA,6379 San Ignacio Ave,www.NG.copado.com,Customer - Direct,www.NG.copado.com,,37.2368057,-121.7866418
C1P_009,e2v inc,9000000,765 Sycamore Dr,Milpitas,CA,95035,USA,c1p,9879879878,Transportation,37.4087966,-121.9209658,910,Private,9879879878,Hot,Milpitas,USA,,37.4087966,-121.9209658,95035,CA,765 Sycamore Dr,www.e2v.copado.com,Customer - Direct,www.e2v.copado.com,,37.4087966,-121.9209658
C1P_010,Moon Express,1000000,19 N Akron Rd,Mountain View,CA,94043,USA,c1p,9879879879,Transportation,37.412177,-122.0609513,110,Private,9879879879,Hot,Mountain View,USA,,37.412177,-122.0609513,94043,CA,19 N Akron Rd,www.MoonExpress.copado.com,Customer - Direct,www.MoonExpress.copado.com,,37.412177,-122.0609513
C1P_011,Stellar Solutions,1100000,250 Cambridge Ave #204,Palo Alto,CA,94306,USA,c1p,9879879889,Transportation,37.4289046,-122.1465449,120,Private,9879879889,Hot,Palo Alto,USA,,37.4289046,-122.1465449,94306,CA,250 Cambridge Ave #204,www.Stellar.copado.com,Customer - Direct,www.Stellar.copado.com,,37.4289046,-122.1465449
